reward_mode,seed,episode,episode_reward
no_progress,0,10,96.08836041390896
no_progress,0,11,94.10544361174107
no_progress,0,12,98.91466639190912
no_progress,0,13,91.82265549898148
no_progress,0,14,95.27505560219288
no_progress,0,15,94.73278774321079
no_progress,0,16,96.08324036747217
no_progress,0,17,97.79579090327024
no_progress,0,18,94.17761085927486
no_progress,0,19,96.95497553050518
no_progress,0,20,99.1086263358593
no_progress,0,21,95.89765514433384
no_progress,0,22,92.39098306000233
no_progress,0,23,95.15989300608635
no_progress,0,24,96.5935864597559
no_progress,0,25,97.47379665076733
no_progress,0,26,96.97710485756397
no_progress,0,27,96.10538371652365
no_progress,0,28,94.63961885124445
no_progress,0,29,94.59661004692316
no_progress,0,30,94.93904922902584
no_progress,0,31,95.82779550552368
no_progress,0,32,93.42474364489317
no_progress,0,33,92.98451679944992
no_progress,0,34,94.01410306990147
no_progress,0,35,93.68189954012632
no_progress,0,36,94.24893342703581
no_progress,0,37,95.53647673130035
no_progress,0,38,91.06445457786322
no_progress,0,39,93.08969531953335
no_progress,0,40,95.21171837300062
no_progress,0,41,93.12782619148493
no_progress,0,42,97.85412818938494
no_progress,0,43,98.74340773373842
no_progress,0,44,97.21013239771128
no_progress,0,45,94.06228839606047
no_progress,0,46,93.69420497864485
no_progress,0,47,95.74148012697697
no_progress,0,48,97.51537071913481
no_progress,0,49,97.74666847288609
no_progress,1,0,93.41623277962208
no_progress,1,1,96.15710277855396
no_progress,1,2,98.5430419743061
no_progress,1,3,92.63988733291626
no_progress,1,4,93.01832167059183
no_progress,1,5,93.61669862270355
no_progress,1,6,94.92619501054287
no_progress,1,7,95.37797275185585
no_progress,1,8,98.78141191601753
no_progress,1,9,94.4596641883254
no_progress,1,10,93.64124552160501
no_progress,1,11,95.69731945544481
no_progress,1,12,94.483811609447
no_progress,1,13,97.87610447406769
no_progress,1,14,93.8722702562809
no_progress,1,15,93.8035953193903
no_progress,1,16,92.8478375673294
no_progress,1,17,98.00275801867247
no_progress,1,18,93.94319032877684
no_progress,1,19,94.48145781457424
no_progress,1,20,96.36254791170359
no_progress,1,21,92.61082784831524
no_progress,1,22,95.83596669137478
no_progress,1,23,95.12368502467871
no_progress,1,24,96.42694338411093
no_progress,1,25,89.99008318781853
no_progress,1,26,97.47569762915373
no_progress,1,27,94.86483882367611
no_progress,1,28,91.05422353744507
no_progress,1,29,93.08042861521244
no_progress,1,30,90.21336987614632
no_progress,1,31,96.97939059883356
no_progress,1,32,98.9573171697557
