reward_mode,seed,n_episodes,success_rate,mean_reward,std_reward,mean_length,std_length,mean_final_distance,std_final_distance,mean_collision_rate
full,0,50,0.2,-321.78459543682516,898.3153208110467,409.6,182.48638305364048,0.2502855161949992,0.14753436486444121,0.04392
full,1,50,0.06,-151.02976544823002,109.16673528590822,470.92,115.10844278331629,0.31326918222010136,0.19121521278974063,0.0
full,2,50,0.16,-158.45987265887157,203.46110870798873,424.08,174.01894609495827,0.30774944895878437,0.18874057192523414,0.00484
full,3,50,0.1,-146.1880975158167,117.34023866707048,453.74,139.78380592901308,0.3130834723263979,0.19437858277055395,0.0
full,4,50,0.2,-130.10350693374335,152.50495814498632,407.96,185.59126703592494,0.28238273710012435,0.17329790831407513,0.00232
sparse,0,50,0.0,0.0,0.0,500.0,0.0,1.1387026846408843,0.21441381271915885,0.0
sparse,1,50,0.0,0.0,0.0,500.0,0.0,1.1052342772483825,0.16666308050207485,0.0
sparse,2,50,0.0,0.0,0.0,500.0,0.0,1.0707909607887267,0.2147955561198342,0.0
sparse,3,50,0.06,-70.4,389.7894816436174,480.58,78.8959035691968,0.8129127951711417,0.36283070274883095,0.015280000000000002
sparse,4,50,0.0,0.0,0.0,500.0,0.0,0.9669683337211609,0.2022028669700373,0.0
no_progress,0,50,0.16,-107.3498429992795,103.64853361721012,433.46,159.2284158057223,0.23661779917776585,0.14859607447379317,0.0036363636363636364
no_progress,1,50,0.16,-137.58960817463696,134.54261451875436,423.46,175.39717329535276,0.29582859128713607,0.21230770751429662,0.00012
no_progress,2,50,0.18,-124.08407937571407,123.69483123587055,420.44,172.28698848142886,0.2785639572888613,0.18055086187829206,0.0
no_progress,3,50,0.06,-260.1829668700695,663.1559853166419,470.62,116.29460692568681,0.3389505586028099,0.17338384560557235,0.01832
no_progress,4,50,0.16,-131.20073008708655,121.49046492497112,428.18,168.10040927969212,0.279864869043231,0.18162504518761494,0.00048
no_time_penalty,0,50,0.14,-137.35533735826613,104.45518301715951,433.72,164.5363230414488,0.30624718494713304,0.13780242699859788,0.0009200000000000001
no_time_penalty,1,50,0.14,-241.2170084003359,502.48989037556964,433.48,165.12894840093904,0.32636659318581224,0.19058746084541195,0.01976
no_time_penalty,2,50,0.12,-140.48335860982536,119.82697588387131,441.88,157.411516732417,0.31470339220017196,0.19529890550303908,0.0035582608695652173
no_time_penalty,3,50,0.06,-149.16887468196452,103.70506851321797,472.38,109.51326677622214,0.3214669793099165,0.17795597380503422,0.0
no_time_penalty,4,50,0.22,-106.13210074983537,131.1189705436705,398.2,192.44947388860274,0.26864231303334235,0.18796792242698773,0.0002883333333333333
distance_only,0,50,0.18,-107.96058063425124,74.51864207280256,416.94,177.88495270820405,0.2186551407724619,0.14081920183084526,8e-05
distance_only,1,50,0.08,-155.66683457460255,88.52920760113062,464.1,122.68565523320157,0.30745353575795886,0.17189049130697764,8e-05
distance_only,2,50,0.12,-134.4575596017763,87.07750472220299,441.64,158.04591231664298,0.27048153575509787,0.1692196785275525,0.0
distance_only,3,50,0.08,-153.20271650251001,92.67316180849078,463.24,125.4308670144634,0.29777405310422184,0.1803423100610075,0.00016
distance_only,4,50,0.24,-127.6975841974467,97.13362787504933,390.16,197.35707334676405,0.2580648411810398,0.1830667987593028,0.0
